Section,Target Set,Count,Column4,Row,Col,RawDataPath,File Name,Plate Barcode,IBT Barcode,Conc,CELL LINE,RUN,SET,notes
B - 1,Summary,10563,,B,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 2,Summary,11515,,B,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 3,Summary,10385,,B,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 4,Summary,10405,,B,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 5,Summary,9969,,B,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 6,Summary,10010,,B,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 7,Summary,9810,,B,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 8,Summary,10723,,B,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 9,Summary,11069,,B,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 10,Summary,9933,,B,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 11,Summary,10950,,B,11,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 12,Summary,10302,,B,12,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 13,Summary,10281,,B,13,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 14,Summary,11188,,B,14,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 15,Summary,11394,,B,15,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 16,Summary,10992,,B,16,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 17,Summary,9738,,B,17,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 18,Summary,9661,,B,18,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 19,Summary,10985,,B,19,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 20,Summary,10521,,B,20,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 21,Summary,10588,,B,21,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 22,Summary,9446,,B,22,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 23,Summary,10343,,B,23,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
B - 24,Summary,12045,,B,24,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 1,Summary,11330,,C,1,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 2,Summary,11504,,C,2,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 3,Summary,10968,,C,3,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 4,Summary,10958,,C,4,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 5,Summary,10885,,C,5,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 6,Summary,11033,,C,6,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 7,Summary,10289,,C,7,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 8,Summary,11010,,C,8,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 9,Summary,10419,,C,9,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 10,Summary,10321,,C,10,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 11,Summary,11186,,C,11,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 12,Summary,11465,,C,12,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 13,Summary,12221,,C,13,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 14,Summary,10306,,C,14,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 15,Summary,10520,,C,15,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 16,Summary,12421,,C,16,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 17,Summary,10871,,C,17,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 18,Summary,9962,,C,18,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 19,Summary,10911,,C,19,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 20,Summary,11583,,C,20,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 21,Summary,11516,,C,21,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
C - 22,Summary,10620,,C,22,\\CTCRFile1.ad.tamhsc.edu\CTCR-Stor1$\MDA_KatelynFosterHandley_AnilSood\screen\raw data\run1\4x_DAPI_A2780ip2_28346_1\4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,4x_DAPI_A2780ip2_28346_1.2019.09.03.14.00.36.CSV,28346,Day3,,A2780ip2,1,1,20190906
